 esp1   esp2   esp3  PSI:0.909091 esp1   esp2   esp3  PSI:1 esp1   esp2   esp3  PSI:1.11111 t 
0.159881  -0.212018  -0.439378  0.158387  -0.207442  -0.389129  0.167643  -0.195919  -0.356676  5820
0.158637  -0.210767  -0.439401  0.158698  -0.20781  -0.388996  0.167924  -0.196104  -0.356607  5880
0.158837  -0.211213  -0.438924  0.159216  -0.208127  -0.389122  0.166736  -0.195459  -0.356411  5940
0.159695  -0.211656  -0.439203  0.158719  -0.207649  -0.389267  0.166321  -0.19533  -0.356192  6000
0.159475  -0.211117  -0.439731  0.157727  -0.206705  -0.389346  0.167132  -0.196199  -0.356148  6060
0.158948  -0.210893  -0.439491  0.157887  -0.206407  -0.389889  0.165874  -0.195563  -0.355524  6120
0.158603  -0.210763  -0.43934  0.158284  -0.206211  -0.390581  0.165805  -0.195275  -0.355849  6180
0.158557  -0.210776  -0.439271  0.158236  -0.205968  -0.390659  0.166207  -0.194994  -0.356309  6240
0.157612  -0.210462  -0.438685  0.158934  -0.206046  -0.39145  0.166388  -0.195443  -0.356035  6300
0.157814  -0.210464  -0.438868  0.15924  -0.206652  -0.391234  0.166676  -0.195293  -0.356338  6360
0.158597  -0.211008  -0.438918  0.158553  -0.205907  -0.391344  0.167019  -0.195478  -0.35653  6420
0.159124  -0.211787  -0.438725  0.158037  -0.205577  -0.391166  0.167579  -0.196068  -0.356562  6480
0.15856  -0.21159  -0.438502  0.158603  -0.206076  -0.391169  0.167744  -0.196498  -0.356336  6540
0.158757  -0.212067  -0.438145  0.158513  -0.206063  -0.391345  0.168267  -0.197162  -0.355581  6600
0.158779  -0.212567  -0.437553  0.1581  -0.205815  -0.391215  0.168708  -0.196867  -0.355967  6660
0.158479  -0.211984  -0.437956  0.1581  -0.206555  -0.390365  0.168841  -0.196464  -0.356528  6720
0.158294  -0.211386  -0.438497  0.157679  -0.206462  -0.390107  0.168974  -0.1962  -0.356844  6780
0.158579  -0.211361  -0.43875  0.157967  -0.207175  -0.38946  0.168811  -0.195814  -0.357075  6840
0.15898  -0.211257  -0.439154  0.158446  -0.207492  -0.389479  0.168379  -0.195323  -0.357263  6900
0.159697  -0.212095  -0.438899  0.158179  -0.207728  -0.389196  0.168329  -0.194519  -0.357796  6960
0.159385  -0.211919  -0.438683  0.158624  -0.207353  -0.390063  0.168776  -0.194673  -0.357965  7020
0.159462  -0.21211  -0.438703  0.158867  -0.208029  -0.389621  0.167896  -0.194473  -0.357384  7080
0.159834  -0.212288  -0.438855  0.158313  -0.207563  -0.389501  0.16743  -0.194553  -0.3569  7140
0.159837  -0.212304  -0.438821  0.158337  -0.208184  -0.388987  0.166982  -0.194857  -0.356135  7200
0.159974  -0.212491  -0.438893  0.158219  -0.20838  -0.388623  0.167313  -0.195588  -0.35559  7260
0.160356  -0.212611  -0.439093  0.158871  -0.208569  -0.38887  0.167033  -0.195553  -0.355393  7320
0.160464  -0.21228  -0.439473  0.158848  -0.209142  -0.388323  0.166725  -0.195838  -0.354957  7380
0.16054  -0.211986  -0.439844  0.158425  -0.208717  -0.388334  0.167048  -0.196259  -0.354529  7440
0.160201  -0.21222  -0.439136  0.158211  -0.208218  -0.388838  0.166659  -0.195684  -0.354832  7500
0.160192  -0.211885  -0.439514  0.157433  -0.207585  -0.388723  0.166602  -0.195966  -0.354564  7560
0.160177  -0.21167  -0.439812  0.156806  -0.207422  -0.388426  0.167029  -0.196387  -0.354212  7620
0.159917  -0.211188  -0.44021  0.156952  -0.207687  -0.38807  0.166704  -0.196569  -0.353828  7680
0.159955  -0.211839  -0.439516  0.156715  -0.207579  -0.38797  0.167367  -0.197113  -0.353663  7740
0.160178  -0.212274  -0.439367  0.156736  -0.207362  -0.388299  0.167299  -0.197361  -0.353377  7800
0.160762  -0.212666  -0.43941  0.157144  -0.207895  -0.388242  0.167144  -0.197275  -0.353426  7860
0.160177  -0.212364  -0.439189  0.157372  -0.20867  -0.387496  0.167264  -0.197667  -0.353246  7920
0.160105  -0.212342  -0.439116  0.157879  -0.209189  -0.387459  0.167044  -0.197871  -0.352962  7980
0.159319  -0.212258  -0.43847  0.157749  -0.209298  -0.387342  0.167295  -0.198094  -0.353143  8040
0.158933  -0.212056  -0.438331  0.157445  -0.208694  -0.387521  0.167795  -0.198298  -0.353002  8100
0.15937  -0.212573  -0.438212  0.157131  -0.209265  -0.386773  0.168476  -0.198396  -0.3533  8160
0.159085  -0.212913  -0.437431  0.157881  -0.210032  -0.386328  0.168009  -0.197876  -0.353582  8220
0.158989  -0.213064  -0.437359  0.157529  -0.210279  -0.385603  0.167604  -0.197931  -0.353038  8280
0.159366  -0.213664  -0.437082  0.157988  -0.210604  -0.385786  0.168082  -0.198127  -0.353367  8340
0.159775  -0.213783  -0.437286  0.1583  -0.210644  -0.385973  0.168482  -0.198405  -0.353409  8400
